id,question_text,chapter,class_level,semester,difficulty,marks,answer
111,"(5, 12) বিন্দু থেকে x²+y²=25 বৃত্তের স্পর্শকের দৈর্ঘ্য কত?",Conic Sections,11,2,Medium,2,"√(5²+12²-25) = √(169-25) = √144 = 12 একক।"
112,"y = (ax+b)/(cx+d) হলে dy/dx কত?",Limits and Derivatives,11,2,Medium,2,"(ad-bc) / (cx+d)²"
113,"একটি ছক্কা ও একটি মুদ্রা একসাথে টস করা হলে, নমুনা দেশ (sample space) লেখ।",Probability,11,2,Easy,2,"{H1, H2, H3, H4, H5, H6, T1, T2, T3, T4, T5, T6}"
114,"A=[[1, 0], [0, 1]] ম্যাট্রিক্সটি কী ধরনের ম্যাট্রিক্স?",Matrices,12,1,Easy,1,"একক ম্যাট্রিক্স (Identity Matrix)"
115,"y=sec⁻¹x + cosec⁻¹x হলে dy/dx কত?",Continuity and Differentiability,12,1,Easy,1,"y = π/2 (ধ্রুবক)। dy/dx = 0।"
116,"∫(1 to e) (1/x) dx -এর মান কত?",Integrals,12,2,Easy,2,"[log x](1 to e) = log e - log 1 = 1-0=1।"
117,"vec(a) = 2i+3j এবং vec(b) = i-j হলে, |vec(a)+vec(b)| কত?",Vector Algebra,12,2,Easy,2,"vec(a)+vec(b) = 3i+2j। |3i+2j| = √(9+4) = √13।"
118,"x/2 = y/3 = z/4 এবং x/4 = y/6 = z/8 সরলরেখা দুটির মধ্যবর্তী কোণ কত?",Three Dimensional Geometry,12,2,Easy,2,"দিক অনুপাতগুলি সমানুপাতিক, তাই রেখা দুটি সমান্তরাল। কোণ 0°।"
119,"যদি P(A)=1/2, P(B)=1/3 এবং A ও B স্বাধীন ঘটনা হয়, তবে P(A∪B) কত?",Probability,12,2,Medium,2,"P(A∪B) = P(A)+P(B)-P(A)P(B) = 1/2+1/3-1/6 = 2/3।"
120,"f(x) = sgn(x) (signum function) অপেক্ষকটির পাল্লা (range) কত?",Relations and Functions,11,1,Easy,1,"{-1, 0, 1}"
121,"sin(π/10)sin(3π/10)sin(7π/10)sin(9π/10) -এর মান কত?",Trigonometric Functions,11,1,Hard,5,"1/16"
122,"z = (1+i√3)² জটিল রাশির কোনাঙ্ক (argument) কত?",Complex Numbers,11,1,Medium,2,"arg(1+i√3) = π/3। arg(z²) = 2 * arg(z) = 2π/3।"
123,"n সংখ্যক বাহুবিশিষ্ট একটি বহুভুজের কর্ণের সংখ্যা কত?",Permutations and Combinations,11,2,Easy,2,"nC2 - n = n(n-3)/2।"
124,"x - 2y = k সরলরেখাটি y²=4x অধিবৃত্তের স্পর্শক হলে, k-এর মান কত?",Conic Sections,11,2,Hard,4,"স্পর্শকের শর্ত y=mx+c হল c=a/m। এখানে m=1/2, a=1। c=-k/2। -k/2 = 1/(1/2)=2 ⇒ k=-4।"
125,"যদি x = y log(xy) হয়, তবে dy/dx নির্ণয় কর।",Continuity and Differentiability,12,1,Hard,5,"y(x-y) / (x(x+y))"
126,"∫(dx / (e^x + e^-x)) -এর মান নির্ণয় কর।",Integrals,12,2,Medium,4,"∫(e^x dx / (e^2x + 1))। e^x=z ধরে। tan⁻¹(e^x)+C।"
127,"y² = 4ax অধিবৃত্ত এবং তার নাভিলম্ব দ্বারা সীমাবদ্ধ অঞ্চলের ক্ষেত্রফল কত?",Application of Integrals,12,2,Medium,4,"8a²/3 বর্গএকক।"
128,"vec(a), vec(b), vec(c) তিনটি একক ভেক্টর এবং vec(a)+vec(b)+vec(c)=0 হলে, vec(a).vec(b)+vec(b).vec(c)+vec(c).vec(a) -এর মান কত?",Vector Algebra,12,2,Medium,4,"|vec(a)+vec(b)+vec(c)|²=0 ⇒ |a|²+|b|²+|c|²+2(..)=0 ⇒ 1+1+1+2(..)=0 ⇒ মান = -3/2।"
129,"Z=3x+2y -এর সর্বোচ্চ মান নির্ণয় কর, যখন x+y≤4, x,y≥0।",Linear Programming,12,2,Easy,2,"প্রান্তবিন্দু (0,0), (4,0), (0,4)। সর্বোচ্চ মান 12, (4,0) বিন্দুতে।"
130,"একটি সম্ভাবনা বিভাজনের মধ্যক (mean) 3 এবং ভেদাঙ্ক (variance) 2 হলে, এটি কি একটি দ্বিপদ বিভাজন হতে পারে?",Probability,12,2,Medium,2,"np=3, npq=2 ⇒ q=2/3, p=1/3। n=np/p = 3/(1/3)=9। হ্যাঁ, হতে পারে।"
131,"যদি A={1,2,3...10} হয়, তবে A থেকে A -তে সংজ্ঞাত এক-এক অপেক্ষকের সংখ্যা কত?",Relations and Functions,11,1,Hard,2,"10! বা P(10,10)."
132,"প্রমাণ কর: (cos A + sin A) / (cos A - sin A) = tan(45°+A).",Trigonometric Functions,11,1,Medium,2,"লব ও হরকে cos A দিয়ে ভাগ করে পাই (1+tanA)/(1-tanA) = tan(45°+A)."
133,"যদি |z+4| ≤ 3 হয়, তবে |z+1| -এর বৃহত্তম মান কত?",Complex Numbers,11,1,Hard,4,"|z+1| = |(z+4)-3| ≤ |z+4| + |-3| ≤ 3+3=6."
134,"যদি (1+x)^n -এর বিস্তৃতিতে প্রথম তিনটি পদের সহগ যথাক্রমে 1, 6 এবং 16 হয়, তবে n -এর মান নির্ণয় কর।",Binomial Theorem,11,2,Medium,4,"nC1=6 ⇒ n=6. nC2=6C2=15, যা 16-এর সমান নয়। সুতরাং প্রদত্ত মানগুলি সম্ভব নয়।"
135,"2 এবং 81 -এর মধ্যে 3টি গুণোত্তরীয় মধ্যক (GM) বসাও।",Sequences and Series,11,2,Medium,4,"81 = 2 * r^4 ⇒ r=3. মধ্যকগুলি হল 6, 18, 54."
136,"x²-y²=a² পরাবৃত্তের অসীমতট (asymptotes) দুটির সমীকরণ কী?",Conic Sections,11,2,Easy,1,"x-y=0 এবং x+y=0."
137,"p ⇒ q -এর বিপরীত (inverse) বিবৃতিটি কী?",Mathematical Reasoning,11,2,Easy,1,"~p ⇒ ~q."
138,"A এবং B স্বাধীন ঘটনা এবং P(A)=1/2, P(A∪B)=3/5 হলে P(B) কত?",Probability,11,2,Hard,4,"P(A∪B)=P(A)+P(B)-P(A)P(B) ⇒ 3/5=1/2+P(B)-(1/2)P(B) ⇒ P(B)=1/5."
139,"A=[[cos x, -sin x], [sin x, cos x]] হলে, AA' কত?",Matrices,12,1,Easy,2,"AA' = I (একক ম্যাট্রিক্স)."
140,"যদি x=sin t, y=cos(pt) হয়, তবে দেখাও যে (1-x²)y₂ - xy₁ + p²y = 0.",Continuity and Differentiability,12,1,Hard,5,"y₁=dy/dx এবং y₂=d²y/dx²। প্যারামেট্রিক অন্তরকলন ব্যবহার করে প্রমাণ করতে হবে।"
141,"∫(dx / (sin²x cos²x)) -এর মান নির্ণয় কর।",Integrals,12,2,Medium,4,"∫(4dx / sin²(2x)) = ∫4cosec²(2x)dx = -2cot(2x)+C."
142,"d/dx ∫(x² to x³) sin(t) dt -এর মান নির্ণয় কর।",Integrals,12,2,Hard,4,"Leibniz's rule ব্যবহার করে: sin(x³) * (3x²) - sin(x²) * (2x)."
143,"vec(a) = i+j-k, vec(b)=i-j+k, vec(c)=-i+j+k ভেক্টর তিনটি কি একতলীয় (coplanar)?",Vector Algebra,12,2,Medium,2,"[a b c] = vec(a).(vec(b) x vec(c)) -এর মান নির্ণয় করতে হবে। মান শূন্য না হলে একতলীয় নয়।"
144,"(1, -1, 2) এবং (3, 4, -2) বিন্দুগামী সরলরেখার ভেক্টর সমীকরণ নির্ণয় কর।",Three Dimensional Geometry,12,2,Easy,2,"vec(r) = (i-j+2k) + λ(2i+5j-4k)."
145,"Z=x-y -এর অবম মান নির্ণয় কর, যখন 3x+y≤6, x+y≤4, x,y≥0.",Linear Programming,12,2,Medium,4,"প্রান্তবিন্দু (0,0), (2,0), (1,3), (0,4)। অবম মান -4, (0,4) বিন্দুতে।"
146,"যদি A={1,2,3...10} হয়, তবে A থেকে A -তে সংজ্ঞাত এক-এক অপেক্ষকের সংখ্যা কত?",Relations and Functions,11,1,Hard,2,"10! বা P(10,10)."
147,"sin 18° -এর মান নির্ণয় কর।",Trigonometric Functions,11,1,Medium,2,"(√5 - 1)/4."
148,"যদি x ও y বাস্তব হয় এবং (x-iy)(3+5i) = -6-24i হয়, তবে x ও y -এর মান নির্ণয় কর।",Complex Numbers,11,1,Medium,4,"গুন করে বাস্তব ও কাল্পনিক অংশ সমান করে x=3, y=-3।"
149,"একটি বহুভুজের 44টি কর্ণ আছে। তার বাহুসংখ্যা কত?",Permutations and Combinations,11,2,Medium,2,"n(n-3)/2 = 44 ⇒ n²-3n-88=0 ⇒ (n-11)(n+8)=0 ⇒ n=11।"
150,"(3x - 1/x²)^15 -এর বিস্তৃতিতে x মুক্ত পদটির মান নির্ণয় কর।",Binomial Theorem,11,2,Medium,4,"Tr+1 = 15Cr (3x)^(15-r) (-1/x²)^r। 15-r-2r=0 ⇒ 3r=15 ⇒ r=5। পদটি হল 15C5 * 3^10 * (-1)^5 = -3003 * 3^10।"
151,"একটি সমান্তর প্রগতির প্রথম 9টি পদের যোগফল 162 এবং প্রথম 15টি পদের যোগফল 405 হলে, প্রগতিটি নির্ণয় কর।",Sequences and Series,11,2,Hard,5,"S9=162, S15=405। সমীকরণ সমাধান করে a=10, d=2। প্রগতি: 10, 12, 14, ..."
152,"y=mx+c সরলরেখাটি x²/a² - y²/b² = 1 পরাবৃত্তের স্পর্শক হওয়ার শর্ত কী?",Conic Sections,11,2,Medium,2,"c² = a²m² - b²।"
153,"y = tan⁻¹((cos x - sin x)/(cos x + sin x)) হলে, dy/dx নির্ণয় কর।",Continuity and Differentiability,12,1,Medium,4,"y = tan⁻¹((1-tan x)/(1+tan x)) = tan⁻¹(tan(π/4 - x)) = π/4 - x। dy/dx = -1।"
154,"∫(0 to 1) x(1-x)⁹⁹ dx -এর মান কত?",Integrals,12,2,Hard,5,"∫(0 to 1) (1-x)x⁹⁹ dx ব্যবহার করে। মান: 1/10100।"
155,"(x+2)/3 = (y-1)/5 = (z+3)/3 এবং x/1 = (y-2)/2 = (z+1)/3 সরলরেখা দুটির মধ্যে ন্যূনতম দূরত্ব (shortest distance) নির্ণয় কর।",Three Dimensional Geometry,12,2,Hard,5,"সূত্র: |(a₂-a₁).(b₁xb₂)| / |b₁xb₂| ব্যবহার করতে হবে।"
156,"একজন ছাত্রের সাঁতার না জানার সম্ভাবনা 1/5। 5 জন ছাত্রের মধ্যে ঠিক 4 জন সাঁতার জানার সম্ভাবনা কত?",Probability,12,2,Medium,4,"সাঁতার জানার সম্ভাবনা p=4/5, না জানার q=1/5। P(X=4) = 5C4 * (4/5)^4 * (1/5)^1 = 5 * 256/3125 = 256/625।"
157,"R={ (x,y) : x,y ∈ N এবং x+2y=8 } সম্বন্ধটির ক্ষেত্র (domain) ও পাল্লা (range) নির্ণয় কর।",Relations and Functions,11,1,Easy,2,"সম্বন্ধ: {(6,1), (4,2), (2,3)}। ক্ষেত্র={2,4,6}, পাল্লা={1,2,3}।"
158,"10C1 + 10C2 + ... + 10C10 -এর মান কত?",Binomial Theorem,11,2,Easy,2,"2^10 - 10C0 = 1024 - 1 = 1023।"
159,"lim(x→∞) (√(x²+x+1) - x) -এর মান নির্ণয় কর।",Limits and Derivatives,11,2,Medium,4,"অনুবন্ধী দিয়ে গুণ করে। মান: 1/2।"
160,"y = e^(e^x) হলে dy/dx নির্ণয় কর।",Continuity and Differentiability,12,1,Easy,2,"e^(e^x) * e^x।"
161,"log(dy/dx) = ax+by অবকল সমীকরণটির সমাধান কর।",Differential Equations,12,2,Medium,4,"dy/dx = e^(ax) * e^(by) ⇒ e^(-by)dy = e^(ax)dx। সমাকলন করে সমাধান করতে হবে।"
162,"যদি A একটি বিপ্রতিসম ম্যাট্রিক্স (skew-symmetric matrix) হয়, তবে তার প্রধান কর্ণের পদগুলি কী হয়?",Matrices,12,1,Easy,1,"সবগুলি শূন্য হয়।"
163,"∫(0 to 2π) |sin x| dx -এর মান নির্ণয় কর।",Application of Integrals,12,2,Hard,4,"2 * ∫(0 to π) sin x dx = 2 * [-cos x](0 to π) = 2 * (1 - (-1)) = 4।"
164,"4i-3j+k এবং -2i+j-2k ভেক্টর দুটির লম্ব দিকে একটি 6 একক মানের ভেক্টর নির্ণয় কর।",Vector Algebra,12,2,Hard,5,"প্রথমে ক্রস গুণফল নির্ণয় করে লম্ব ভেক্টর বের করতে হবে, তারপর তার একক ভেক্টরকে 6 দিয়ে গুণ করতে হবে।"
165,"একটি মুদ্রা কতবার টস করলে অন্তত একবার হেড পড়ার সম্ভাবনা 0.9 -এর বেশি হবে?",Probability,12,2,Hard,5,"1 - (1/2)^n > 0.9 ⇒ (1/2)^n < 0.1 ⇒ 2^n > 10। n=4 (ন্যূনতম)।"
166,"যদি A={1,2,3}, B={3,4,5} হয়, তবে (A-B)×(B-A) নির্ণয় কর।",Sets,11,1,Easy,2,"A-B={1,2}, B-A={4,5}। (A-B)×(B-A) = {(1,4), (1,5), (2,4), (2,5)}।"
167,"cos 20° cos 40° cos 80° -এর মান কত?",Trigonometric Functions,11,1,Hard,4,"(1/4) * cos(3*20) = (1/4)cos60 = 1/8।"
168,"একটি গুণোত্তর প্রগতির 5-তম পদ 2 হলে, তার প্রথম 9টি পদের গুণফল কত?",Sequences and Series,11,2,Medium,4,"a*ar*...*ar^8 = a^9 * r^36 = (ar^4)^9 = 2^9 = 512।"
169,"(4, -5) এবং (-2, 3) বিন্দু দুটির সংযোজক রেখাংশ y-অক্ষ দ্বারা কী অনুপাতে বিভক্ত হয়?",Straight Lines,11,2,Medium,2,"ধরি অনুপাত k:1। y-অক্ষের ওপর x=0। (-2k+4)/(k+1)=0 ⇒ k=2। অনুপাত 2:1।"
170,"y=x³ - 3x² + 5 অপেক্ষকের যে বিন্দুতে স্পর্শক x-অক্ষের সমান্তরাল, তার স্থানাঙ্ক নির্ণয় কর।",Application of Derivatives,12,1,Medium,4,"dy/dx=3x²-6x=0 ⇒ x=0, 2। বিন্দুগুলি (0,5) এবং (2,1)।"
171,"∫(dx / (x log x)) -এর মান নির্ণয় কর।",Integrals,12,2,Easy,2,"log x = z ধরে। log(log x) + C।"
172,"vec(a) = i+j, vec(b)=j+k এবং vec(c)=k+i হলে, [a b c] বা বক্স প্রোডাক্টের মান কত?",Vector Algebra,12,2,Medium,2,"|[1,1,0],[0,1,1],[1,0,1]| = 1(1)-1(-1)+0 = 2।"
173,"Z=5x+10y -এর অবম মান নির্ণয় কর, যখন x+2y≤120, x+y≥60, x-2y≥0, x,y≥0.",Linear Programming,12,2,Hard,5,"প্রান্তবিন্দুগুলি হল (60,0), (120,0), (60,30)। অবম মান 300, (60,0) বিন্দুতে।"
174,"একটি লিপ ইয়ারে 53টি রবিবার থাকার সম্ভাবনা কত?",Probability,11,2,Medium,2,"লিপ ইয়ারে 366 দিন = 52 সপ্তাহ + 2 দিন। দুটি দিন হতে পারে (রবি, সোম), (সোম, মঙ্গল),...। অনুকূল ঘটনা 2। সম্ভাবনা 2/7।"
175,"যদি x = a sec³θ, y = a tan³θ হয়, তবে θ=π/3 বিন্দুতে dy/dx নির্ণয় কর।",Continuity and Differentiability,12,1,Medium,4,"dy/dx = sinθ। θ=π/3 -তে মান √3/2।"
176,"যদি A=[[1, 2], [x, 4]] ম্যাট্রিক্সটি সিঙ্গুলার (singular) হয়, তবে x-এর মান কত?",Matrices,12,1,Easy,1,"|A|=0 ⇒ 4-2x=0 ⇒ x=2।"
177,"∫(-a to a) f(x)dx = 2∫(0 to a) f(x)dx কখন হবে?",Integrals,12,2,Easy,1,"যখন f(x) একটি যুগ্ম অপেক্ষক (even function), অর্থাৎ f(-x) = f(x)।"
178,"P(A∪B) = P(A) + P(B) কখন সত্যি হয়?",Probability,12,2,Easy,1,"যখন A এবং B দুটি পরস্পর পৃথক (mutually exclusive) ঘটনা।"
179,"tan⁻¹(1) + tan⁻¹(2) + tan⁻¹(3) -এর মান কত?",Inverse Trigonometric Functions,12,1,Medium,4,"tan⁻¹(2)+tan⁻¹(3) = tan⁻¹((2+3)/(1-6)) = tan⁻¹(-1) = -tan⁻¹(1) = -π/4। ভুল, tan⁻¹(x)+tan⁻¹(y)=π+tan⁻¹((x+y)/(1-xy)) যখন xy>1। π-π/4। মোট মান: π/4+3π/4 = π।"
180,"x=0 বিন্দুতে y=|x|+|x-1| অপেক্ষকটি সন্তত কিনা পরীক্ষা কর।",Continuity and Differentiability,12,1,Medium,2,"হ্যাঁ, সন্তত। কারণ দুটি সন্তত অপেক্ষকের যোগফল সর্বদা সন্তত হয়।"
181,"একটি সরলরেখা x, y, z অক্ষের ধনাত্মক দিকের সঙ্গে যথাক্রমে α, β, γ কোণ উৎপন্ন করলে, sin²α + sin²β + sin²γ -এর মান কত?",Three Dimensional Geometry,12,2,Medium,2,"cos²α+cos²β+cos²γ=1 ⇒ (1-sin²α)+(1-sin²β)+(1-sin²γ)=1 ⇒ sin²α+sin²β+sin²γ=2।"
182,"y = log(log(log x)) হলে dy/dx কত?",Limits and Derivatives,11,2,Medium,2,"1/(x logx log(logx))।"
183,"যদি A ও B দুটি সেট হয় এবং n(A)=20, n(B)=25, n(A∪B)=40 হয়, তবে n(A∩B) কত?",Sets,11,1,Easy,1,"n(A∩B) = n(A)+n(B)-n(A∪B) = 20+25-40 = 5।"
184,"(x-a)(x-b) > 0 অসমীকরণটির সমাধান কী (যখন a < b)?",Linear Inequalities,11,1,Medium,2,"x < a অথবা x > b। অর্থাৎ, (-∞, a) ∪ (b, ∞)।"
185,"∫(dx / √(a²-x²)) -এর মান কত?",Integrals,12,2,Easy,1,"sin⁻¹(x/a) + C।"
186,"4x-3y+10=0 সরলরেখার প্রবণতা (slope) ও y-ছেদিতাংশ (y-intercept) কত?",Straight Lines,11,2,Easy,1,"y=(4/3)x + 10/3। প্রবণতা=4/3, y-ছেদিতাংশ=10/3।"
187,"sin⁻¹x - cos⁻¹x = π/6 হলে, x-এর মান নির্ণয় কর।",Inverse Trigonometric Functions,12,1,Hard,4,"cos⁻¹x=π/2-sin⁻¹x ব্যবহার করে। 2sin⁻¹x = 2π/3 ⇒ sin⁻¹x=π/3 ⇒ x=√3/2।"
188,"যদি A একটি 2x2 ম্যাট্রিক্স হয় এবং A²=I হয়, তবে A⁻¹ কী হবে?",Matrices,12,1,Easy,1,"A⁻¹ = A।"
189,"মান নির্ণয় কর: ∫(0 to 4) |x-2| dx",Application of Integrals,12,2,Medium,4,"∫(0 to 2) (2-x)dx + ∫(2 to 4) (x-2)dx = 2+2=4।"
190,"vec(a) এবং vec(b) দুটি একক ভেক্টর এবং তাদের মধ্যবর্তী কোণ θ হলে, |vec(a)-vec(b)| -এর মান কত?",Vector Algebra,12,2,Medium,2,"|a-b|² = |a|²+|b|²-2a.b = 1+1-2cosθ = 2(1-cosθ) = 4sin²(θ/2)। মান = 2sin(θ/2)।"
191,"5x+3y=1 সরলরেখার সমান্তরাল এবং (2,1) বিন্দুগামী সরলরেখার সমীকরণ নির্ণয় কর।",Straight Lines,11,2,Easy,2,"5x+3y=k। 5(2)+3(1)=k ⇒ k=13। 5x+3y=13।"
192,"y=x² বক্রের (1,1) বিন্দুতে অভিলম্বের (normal) সমীকরণ নির্ণয় কর।",Application of Derivatives,12,1,Medium,4,"dy/dx=2x। (1,1) এ স্পর্শকের প্রবণতা 2। অভিলম্বের প্রবণতা -1/2। সমীকরণ: y-1 = -1/2 (x-1)।"
193,"∫(e^x / (1+e^(2x))) dx -এর মান নির্ণয় কর।",Integrals,12,2,Medium,2,"e^x=z ধরে। ∫dz/(1+z²)=tan⁻¹(z)+C = tan⁻¹(e^x)+C।"
194,"y=A e^(3x) + B e^(-2x) অবকল সমীকরণটির ক্রম (order) ও মাত্রা (degree) কত?",Differential Equations,12,2,Easy,2,"দুটি ধ্রুবক থাকায় ক্রম 2, এটি রৈখিক হওয়ায় মাত্রা 1।"
195,"যদি f(x) = (x-a)²(x-b)² হয়, তবে f(x)-এর কটি চরম বা অবম বিন্দু আছে?",Application of Derivatives,12,1,Hard,4,"f'(x)=0 করে x=a, b, (a+b)/2 পাওয়া যায়। 3টি বিন্দু।"
196,"A = {1, {2,3}, 4} সেটের পদের সংখ্যা কত?",Sets,11,1,Easy,1,"3টি। পদগুলি হল 1, {2,3}, এবং 4।"
197,"z = -1-i√3 হলে, z-এর পোলার আকার (polar form) লেখ।",Complex Numbers,11,1,Medium,2,"r=2, θ=-2π/3। 2(cos(-2π/3) + i sin(-2π/3))।"
198,"(2a - b)⁷ -এর বিস্তৃতিতে পদের সংখ্যা কত?",Binomial Theorem,11,2,Easy,1,"7+1 = 8।"
199,"(x-1)/2 = (y-2)/3 = (z-3)/4 সরলরেখাটি কোন সমতলকে ছেদ করে?",Three Dimensional Geometry,12,2,Easy,1,"XY, YZ এবং ZX তিনটি সমতলকেই ছেদ করে।"
200,"একটি দ্বিপদ বিভাজনের মধ্যক ও সমক পার্থক্য যথাক্রমে 4 ও √3 হলে, P(X=0)-এর মান নির্ণয় কর।",Probability,12,2,Hard,4,"np=4, npq=3 ⇒ q=3/4, p=1/4, n=16। P(X=0) = 16C0 * (1/4)^0 * (3/4)^16 = (3/4)^16।"
201,"f(x) = x³ - 1/x³ হলে, f(x)+f(1/x) -এর মান কত?",Relations and Functions,11,1,Easy,2,"f(1/x) = 1/x³ - x³। যোগফল = 0।"
202,"যদি 3tanA + 4 = 0 এবং A তৃতীয় পাদে থাকে, তবে 2cotA - 5cosA + sinA -এর মান নির্ণয় কর।",Trigonometric Functions,11,1,Medium,4,"tanA=-4/3। sinA=-4/5, cosA=-3/5, cotA=3/4। মান = 2(3/4)-5(-3/5)+(-4/5) = 23/10।"
203,"y = x/(x+4) বক্রের অসীমতট (asymptote) সমূহের সমীকরণ নির্ণয় কর।",Conic Sections,11,2,Hard,4,"উল্লম্ব অসীমতট: x=-4। অনুভূমিক অসীমতট: y=1।"
204,"দেখাও যে f(x) = x - sin(x) একটি সর্বত্র বর্ধিষ্ণু (strictly increasing) অপেক্ষক।",Application of Derivatives,12,1,Medium,4,"f'(x) = 1 - cos(x)। যেহেতু -1≤cos(x)≤1, তাই f'(x)≥0। সুতরাং অপেক্ষকটি বর্ধিষ্ণু।"
205,"A ম্যাট্রিক্সের ক্রম 3x3 এবং |A|=5 হলে, |2A| -এর মান কত?",Determinants,12,1,Easy,2,"|2A| = 2³|A| = 8 * 5 = 40।"
